ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
5135,simple,9238,22216-RZKW33 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,19,5,0,0,,,,,1,,,54.81,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5136,simple,107109,22216-RZKW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,24,5,0,0,,,,,1,,,,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5137,simple,9750,22216-RZW33C3M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,4,5,0,0,,,,,1,,,54.81,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5138,simple,106753,22217-RZKW33 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,8,5,0,0,,,,,1,,,56.84,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5139,simple,10147,22217-RZKW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,21,5,0,0,,,,,1,,,56.84,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5140,simple,106746,22218-RZKW33 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,24,5,0,0,,,,,1,,,,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5141,simple,9573,22218-RZKW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,11,5,0,0,,,,,1,,,69.6,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5142,simple,9240,22218-RZW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,12,5,0,0,,,,,1,,,66.99,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5143,simple,9751,22219-RZKW33 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,12,5,0,0,,,,,1,,,69.96,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5144,simple,9658,22220-RZKW33 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,26,5,0,0,,,,,1,,,93.79,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5145,simple,9962,22220-RZW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,5,5,0,0,,,,,1,,,92.57,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5146,simple,10087,22222-RZKW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,11,5,0,0,,,,,1,,,139.2,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5147,simple,10219,22222-RZW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,6,5,0,0,,,,,1,,,135.54,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5148,simple,106155,22224-RZKW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,8,5,0,0,,,,,1,,,172.47,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5149,simple,9963,22224-RZW33M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,4,5,0,0,,,,,1,,,163.05,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5150,simple,10088,22226-RZKW33 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,4,5,0,0,,,,,1,,,182.8,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5151,simple,10220,22226-RZKW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,6,5,0,0,,,,,1,,,183.69,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5152,simple,9659,22226-RZW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,13,5,0,0,,,,,1,,,208.6,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5153,simple,9964,22228-RZKW33MC3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,9,5,0,0,,,,,1,,,198.58,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5154,simple,9965,22228-RZW33C3M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,4,5,0,0,,,,,1,,,198.58,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5155,simple,9967,22232-RW33FY /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,2,5,0,0,,,,,1,,,385.27,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5156,simple,9968,22308-RZW33C3M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,2,5,0,0,,,,,1,,,35.38,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
