ID,Type,SKU,Sold individually?
7304,simple,1045,0
7305,simple,1055,0
7306,simple,1083,0
7307,simple,1062,0
7308,simple,1082,0
7309,simple,910,0
7310,simple,1021,0
7311,simple,950,0
7312,simple,1106,0
7313,simple,1020,0
7314,simple,918,0
7315,simple,1104,0
7316,simple,940,0
7317,simple,749,0
7318,simple,1449,0
7319,simple,892,0
7320,simple,956,0
7321,simple,1050,0
7322,simple,1095,0
7323,simple,1108,0
7324,simple,1126,0
7325,simple,919,0
7326,simple,1114,0
7327,simple,106411,0
7328,simple,1081,0
7329,simple,1073,0
7330,simple,105986,0
7331,simple,8120,0
7332,simple,1035,0
7333,simple,310,0
7334,simple,1111,0
7335,simple,1304,0
7336,simple,1046,0
7337,simple,1077,0
7338,simple,988,0
7339,simple,1022,0
7340,simple,882,0
7341,simple,1078,0
7342,simple,408,0
7343,simple,7875,0
7344,simple,6850,0
7345,simple,1024,0
7346,simple,1107,0
7347,simple,920,0
7348,simple,1101,0
7349,simple,1755,0
7350,simple,991,0
7351,simple,1100,0
7352,simple,1093,0
7353,simple,1072,0
7354,simple,893,0
7355,simple,897,0
7356,simple,976,0
7357,simple,1036,0
7358,simple,1112,0
7359,simple,1038,0
7360,simple,1009,0
7361,simple,941,0
7362,simple,1003,0
7363,simple,721,0
7364,simple,38,0
7365,simple,1025,0
7366,simple,1023,0
7367,simple,311,0
7368,simple,1316,0
7369,simple,1250,0
7370,simple,286,0
7371,simple,391,0
7372,simple,1311,0
7373,simple,106,0
7374,simple,388,0
7375,simple,1340,0
7376,simple,1261,0
7377,simple,226,0
7378,simple,1281,0
7379,simple,400,0
7380,simple,389,0
7381,simple,84,0
7382,simple,284,0
7383,simple,409,0
7384,simple,1330,0
7385,simple,584,0
7386,simple,135,0
7387,simple,1317,0
7388,simple,235,0
7389,simple,564,0
7390,simple,246,0
7391,simple,184,0
7392,simple,1244,0
7393,simple,242,0
7394,simple,292,0
7395,simple,410,0
7396,simple,236,0
7397,simple,553,0
7398,simple,243,0
7399,simple,180,0
7400,simple,178,0
7401,simple,668,0
7402,simple,282,0
7403,simple,255,0
7404,simple,29,0
7405,simple,472,0
7406,simple,592,0
7407,simple,293,0
7408,simple,580,0
7409,simple,514,0
7410,simple,129,0
7411,simple,483,0
7412,simple,93,0
7413,simple,574,0
7414,simple,283,0
7415,simple,565,0
7416,simple,159,0
7417,simple,130,0
7418,simple,18,0
7419,simple,609,0
7420,simple,58,0
7421,simple,315,0
7422,simple,206,0
7423,simple,368,0
7424,simple,39,0
7425,simple,610,0
7426,simple,737,0
7427,simple,358,0
7428,simple,377,0
7429,simple,151,0
7430,simple,139,0
7431,simple,73,0
7432,simple,269,0
7433,simple,705,0
7434,simple,305,0
7435,simple,220,0
7436,simple,319,0
7437,simple,765,0
7438,simple,1258,0
7439,simple,198,0
7440,simple,306,0
7441,simple,382,0
7442,simple,411,0
7443,simple,249,0
7444,simple,302,0
7445,simple,383,0
7446,simple,227,0
7447,simple,258,0
7448,simple,1681,0
7449,simple,735,0
7450,simple,355,0
7451,simple,412,0
7452,simple,669,0
7453,simple,655,0
7454,simple,373,0
7455,simple,413,0
7456,simple,19,0
7457,simple,656,0
7458,simple,215,0
7459,simple,59,0
7460,simple,1240,0
7461,simple,50,0
7462,simple,1313,0
7463,simple,497,0
7464,simple,188,0
7465,simple,593,0
7466,simple,404,0
7467,simple,42,0
7468,simple,94,0
7469,simple,575,0
7470,simple,1123,0
7471,simple,912,0
7472,simple,1282,0
7473,simple,1065,0
7474,simple,1067,0
7475,simple,1079,0
7476,simple,1040,0
7477,simple,1105,0
7478,simple,1102,0
7479,simple,1090,0
7480,simple,1084,0
7481,simple,764,0
7482,simple,1064,0
7483,simple,1080,0
7484,simple,978,0
7485,simple,1015,0
7486,simple,902,0
7487,simple,984,0
7488,simple,1052,0
7489,simple,927,0
7490,simple,1071,0
7491,simple,951,0
7492,simple,1018,0
7493,simple,1056,0
7494,simple,992,0
7495,simple,10457,0
7496,simple,943,0
7497,simple,1068,0
7498,simple,7150,0
7499,simple,993,0
7500,simple,1010,0
7501,simple,989,0
7502,simple,105987,0
7503,simple,1345,0
7504,simple,899,0
7505,simple,1074,0
7506,simple,770,0
7507,simple,8048,0
7508,simple,1042,0
7509,simple,1075,0
7510,simple,105778,0
7511,simple,7434,0
7512,simple,10118,0
7513,simple,106341,0
7514,simple,312,0
7515,simple,1646,0
7516,simple,1245,0
7517,simple,265,0
7518,simple,290,0
7519,simple,185,0
7520,simple,604,0
7521,simple,657,0
7522,simple,390,0
7523,simple,686,0
7524,simple,270,0
7525,simple,501,0
7526,simple,9380,0
7527,simple,498,0
7528,simple,9381,0
7529,simple,107,0
7530,simple,576,0
7531,simple,1275,0
7532,simple,1272,0
7533,simple,1248,0
7534,simple,60,0
7535,simple,384,0
7536,simple,670,0
7537,simple,163,0
7538,simple,14,0
7539,simple,189,0
7540,simple,1292,0
7541,simple,369,0
7542,simple,1320,0
7543,simple,8897,0
7544,simple,160,0
7545,simple,493,0
7546,simple,543,0
7547,simple,213,0
7548,simple,1371,0
7549,simple,1672,0
7550,simple,1299,0
7551,simple,1246,0
7552,simple,8895,0
7553,simple,323,0
7554,simple,863,0
7555,simple,1237,0
7556,simple,1361,0
7557,simple,239,0
7558,simple,385,0
7559,simple,1273,0
7560,simple,405,0
7561,simple,1366,0
7562,simple,259,0
7563,simple,864,0
7564,simple,480,0
7565,simple,250,0
7566,simple,1370,0
7567,simple,271,0
7568,simple,488,0
7569,simple,122,0
7570,simple,671,0
7571,simple,658,0
7572,simple,119,0
7573,simple,9078,0
7574,simple,230,0
7575,simple,1604,0
7576,simple,181,0
7577,simple,295,0
7578,simple,161,0
7579,simple,131,0
7580,simple,1392,0
7581,simple,253,0
7582,simple,585,0
7583,simple,5,0
7584,simple,1265,0
7585,simple,33,0
7586,simple,136,0
7587,simple,378,0
7588,simple,1289,0
7589,simple,247,0
7590,simple,51,0
7591,simple,1350,0
7592,simple,659,0
7593,simple,85,0
7594,simple,473,0
7595,simple,672,0
7596,simple,64,0
7597,simple,535,0
7598,simple,277,0
7599,simple,582,0
7600,simple,611,0
7601,simple,140,0
7602,simple,1305,0
7603,simple,61,0
7604,simple,594,0
7605,simple,620,0
7606,simple,30,0
7607,simple,78,0
7608,simple,612,0
7609,simple,152,0
7610,simple,8269,0
7611,simple,65,0
7612,simple,660,0
7613,simple,120,0
7614,simple,621,0
7615,simple,169,0
7616,simple,351,0
7617,simple,207,0
7618,simple,515,0
7619,simple,106656,0
7620,simple,499,0
7621,simple,34,0
7622,simple,106655,0
7623,simple,613,0
7624,simple,164,0
7625,simple,98,0
7626,simple,503,0
7627,simple,272,0
7628,simple,335,0
7629,simple,622,0
7630,simple,1440,0
7631,simple,62,0
7632,simple,734,0
7633,simple,1367,0
7634,simple,536,0
7635,simple,132,0
7636,simple,216,0
7637,simple,318,0
7638,simple,141,0
7639,simple,20,0
7640,simple,223,0
7641,simple,836,0
7642,simple,79,0
7643,simple,203,0
7644,simple,852,0
7645,simple,1262,0
7646,simple,851,0
7647,simple,849,0
7648,simple,850,0
7649,simple,372,0
7650,simple,756,0
7651,simple,417,0
7652,simple,8118,0
7653,simple,1381,0
7654,simple,732,0
7655,simple,833,0
7656,simple,1389,0
7657,simple,291,0
7658,simple,9080,0
7659,simple,347,0
7660,simple,52,0
7661,simple,1375,0
7662,simple,724,0
7663,simple,1401,0
7664,simple,631,0
7665,simple,990,0
7666,simple,957,0
7667,simple,1098,0
7668,simple,1011,0
7669,simple,696,0
7670,simple,1099,0
7671,simple,1063,0
7672,simple,1047,0
7673,simple,1069,0
7674,simple,1026,0
7675,simple,971,0
7676,simple,1121,0
7677,simple,418,0
7678,simple,952,0
7679,simple,1019,0
7680,simple,1033,0
7681,simple,1336,0
7682,simple,1016,0
7683,simple,980,0
7684,simple,8953,0
7685,simple,914,0
7686,simple,972,0
7687,simple,1007,0
7688,simple,170,0
7689,simple,953,0
7690,simple,885,0
7691,simple,105586,0
7692,simple,1092,0
7693,simple,1118,0
7694,simple,1087,0
7695,simple,1116,0
7696,simple,1037,0
